symptom_text,severity,disease,total_weight
vomiting breathlessness sweating chest_pain,MEDIUM,Heart attack,19
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,LOW,Psoriasis,12
back_pain weakness_in_limbs dizziness loss_of_balance,MEDIUM,Cervical spondylosis,18
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,45
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
fatigue cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf,HIGH,Varicose veins,32
itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,44
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain mild_fever yellowing_of_eyes muscle_pain,HIGH,hepatitis A,39
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain,HIGH,GERD,28
vomiting sunken_eyes diarrhoea,MEDIUM,Gastroenteritis,14
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,49
constipation pain_during_bowel_movements pain_in_anal_region bloody_stool,MEDIUM,Dimorphic hemmorhoids(piles),20
continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,77
vomiting sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,18
continuous_sneezing shivering chills,LOW,Allergy,12
muscle_wasting patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,21
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain,MEDIUM,Chronic cholestasis,22
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,62
chills fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum,CRITICAL,Pneumonia,52
itching skin_rash nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,8
joint_pain fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,57
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain,HIGH,GERD,28
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,52
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision excessive_hunger increased_appetite polyuria,HIGH,Diabetes,37
fatigue yellowish_skin loss_of_appetite yellowing_of_eyes family_history,MEDIUM,Hepatitis C,20
itching skin_rash nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,8
itching vomiting weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,27
